Date,Price,Open,High,Low,Vol.,Change %
2021-01-15,826.16,852,859.9,819.1,38.78M,-2.23%
2021-01-14,845,844.3,862.7,839,31.27M,-1.10%
2021-01-13,854.41,854.19,860,832,33.31M,0.59%
2021-01-12,849.44,830.23,867.8,829.14,46.27M,4.72%
2021-01-11,811.19,841.59,853.99,804.89,59.55M,-7.82%
2021-01-08,880.02,856,884.49,838.39,75.06M,7.84%
2021-01-07,816.04,778.23,816.82,775.52,51.50M,7.94%
2021-01-06,755.98,759.12,774,749.53,44.70M,2.84%
2021-01-05,735.11,723.29,740.68,719.25,32.25M,0.73%
2021-01-04,729.77,719.1,744.2,717.29,48.64M,3.42%
2020-12-31,705.67,699.99,718.72,691.12,49.65M,1.57%
2020-12-30,694.78,672.06,696.45,668.69,42.85M,4.32%
2020-12-29,665.99,660.6,669.75,656,22.91M,0.35%
2020-12-28,663.69,674.25,681.17,660.91,32.28M,0.29%
2020-12-24,661.77,642.99,666.09,641,22.87M,2.44%
2020-12-23,645.98,631.7,651.21,622.76,33.17M,0.88%
2020-12-22,640.34,647.15,649.86,614.25,51.86M,-1.46%
2020-12-21,649.86,663.2,668.25,646.23,58.05M,-6.49%
2020-12-18,695,668.9,695,628.54,222.13M,5.96%
2020-12-17,655.9,628.45,658.77,619.75,56.27M,5.32%
2020-12-16,622.77,628.23,632.5,605,41.52M,-1.65%
2020-12-15,633.25,643.51,646.57,624.12,45.22M,-1.03%
2020-12-14,639.83,619.18,642.62,610.64,52.04M,4.89%
2020-12-11,609.99,615.01,624,596.8,46.48M,-2.72%
2020-12-10,627.07,572.88,627.59,566.7,67.08M,3.74%
2020-12-09,604.48,653.75,653.88,590.62,71.29M,-6.99%
2020-12-08,649.88,625.35,651.26,619.55,64.27M,1.27%
2020-12-07,641.76,604.91,648.72,603.42,56.31M,7.13%
2020-12-04,599.04,591.01,599.04,585.5,29.40M,0.95%
2020-12-03,593.38,590.02,598.88,582.69,42.55M,4.32%
2020-12-02,568.82,555.73,571.48,542,47.78M,-2.73%
2020-12-01,584.76,597.59,597.85,572.05,39.13M,3.02%
2020-11-30,567.6,602.21,607.8,554.51,59.84M,-3.10%
2020-11-27,585.76,581.16,598.78,578.45,37.56M,2.05%
2020-11-25,574,550.06,574,545.37,48.93M,3.35%
2020-11-24,555.38,540.45,559.98,526.59,53.65M,6.43%
2020-11-23,521.85,503.31,525.87,501.92,50.26M,6.58%
2020-11-20,489.61,497.99,502.5,489.06,32.91M,-1.93%
2020-11-19,499.27,492,508.59,488.18,62.48M,2.60%
2020-11-18,486.64,447.28,495.67,443.62,78.04M,10.20%
2020-11-17,441.61,460.28,461.89,433.01,61.19M,8.21%
2020-11-16,408.09,408.82,412.45,404.13,26.84M,-0.10%
2020-11-13,408.5,410.85,412.53,401.66,19.83M,-0.79%
2020-11-12,411.76,414.87,422.79,409.52,19.94M,-1.29%
2020-11-11,417.13,416.7,418.58,410.62,17.36M,1.65%
2020-11-10,410.36,419.91,419.91,396.4,30.28M,-2.59%
